rule,length,size,mean_residual,delta_from_global,q_residual,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value,language,leaf_id,q_signed,expr,operator,threshold,n_ops
PTRATIO > 19.7 AND LSTAT <= 11.45 AND DIS <= 2.1,3,8,24.4706798750001,23.031361274209587,14.821385216663389,1,5,0,0,0.21000000000000002,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,True,0.47143951955936897,14.821385216663389,0.000999000999000999,L_conj,,,,,,
LSTAT <= 9.53 AND PTRATIO > 19.2 AND DIS <= 2.22,3,8,22.65587050000011,21.216551899209595,13.653499891890718,1,5,0,0,0.12,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.4524843715502575,13.653499891890718,0.000999000999000999,L_conj,,,,,,
LSTAT <= 9.53 AND DIS <= 3.09 AND CRIM > 2.3,3,8,22.483155875000094,21.04383727420958,13.542352749557306,1,5,0,0,0.12000000000000001,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.45063886981261864,13.542352749557306,0.000999000999000999,L_conj,,,,,,
LSTAT <= 13.33 AND RAD > 7 AND DIS <= 1.93,3,10,19.879914500000087,18.440595899209573,13.267806976441216,1,5,0,0,0.02,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.4460475521225225,13.267806976441216,0.000999000999000999,L_conj,,,,,,
DIS <= 1.951 AND LSTAT <= 13.66 AND CRIM > 1.5,3,12,18.248303583333403,16.80898498254289,13.248182616092144,1,5,0,0,0.111,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.44571755647643857,13.896076421259082,0.000999000999000999,L_conj,,,,,,
LSTAT <= 9.53 AND B <= 383.2 AND RAD > 8,3,7,23.280703714285814,21.8413851134953,13.147809115919527,1,5,0,0,0.11,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.4440258794470751,13.147809115919527,0.000999000999000999,L_conj,,,,,,
NOX > 0.507 AND LSTAT <= 10.11 AND RAD > 5,3,11,18.538056727272796,17.09873812648228,12.902818768188368,1,4,0,0,0.011,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,True,0.6242045863109879,12.902818768188368,0.000999000999000999,L_conj,,,,,,
LSTAT <= 9.53 AND INDUS > 8.39 AND NOX > 0.63,3,9,20.280963444444524,18.84164484365401,12.860689756498871,1,4,0,0,0.03,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.623184707492474,12.860689756498871,0.000999000999000999,L_conj,,,,,,
LSTAT <= 9.53 AND AGE > 76.96 AND CRIM > 3.47,3,9,20.271252444444528,18.831933843654014,12.854061345908308,1,4,0,0,0.03,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.6230240918266297,12.854061345908308,0.000999000999000999,L_conj,,,,,,
NOX > 0.507 AND LSTAT <= 10.11 AND TAX > 406.8,3,12,17.672470750000063,16.23315214920955,12.794333764405696,1,4,0,0,0.111,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.6215749370083019,12.794333764405696,0.000999000999000999,L_conj,,,,,,
PTRATIO > 19.7 AND LSTAT <= 11.45 AND B <= 375.5,3,9,20.07283144444453,18.633512843654017,12.718625669068572,1,5,0,0,0.21000000000000002,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.43671859162556564,12.000068333309889,0.000999000999000999,L_conj,,,,,,
B <= 388 AND LSTAT <= 11.98 AND RAD > 8,3,10,18.919942300000073,17.48062369920956,12.577117482350857,1,5,0,0,0.01,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.434282317607758,12.577117482350857,0.000999000999000999,L_conj,,,,,,
DIS <= 2.64 AND LSTAT <= 11.65 AND RAD > 5,3,11,18.101728000000076,16.66240939920956,12.573562278632876,1,5,0,0,0.02,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.4342209334616425,12.573562278632876,0.000999000999000999,L_conj,,,,,,
LSTAT <= 9.53 AND DIS <= 3.09 AND RAD > 5,3,10,18.90523160000007,17.465912999209557,12.566533294662177,1,5,0,0,0.02,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.4340995454814455,12.566533294662177,0.000999000999000999,L_conj,,,,,,
INDUS > 7.38 AND LSTAT <= 10.45 AND DIS <= 1.96,3,12,17.24043800000004,15.801119399209528,12.45382249771844,1,5,0,0,0.03,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.4321484142897328,12.45382249771844,0.000999000999000999,L_conj,,,,,,
LSTAT <= 9.53 AND CRIM > 0.37 AND RAD > 8,3,10,18.622818800000072,17.183500199209558,12.363340375162384,1,4,0,0,0.02,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.6110159815335516,12.363340375162384,0.000999000999000999,L_conj,,,,,,
NOX > 0.507 AND LSTAT <= 10.11 AND CRIM > 2.19,3,12,17.028318750000064,15.589000149209552,12.286638425431699,1,4,0,0,0.020999999999999998,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.6091176663865141,12.286638425431699,0.000999000999000999,L_conj,,,,,,
LSTAT <= 9.53 AND NOX > 0.48 AND TAX > 403,3,11,17.670837545454614,16.2315189446641,12.248409544974033,1,4,0,0,0.02,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.608169317988968,12.248409544974033,0.000999000999000999,L_conj,,,,,,
